Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
653,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,Anthropology,D3,6.0,,,,,,,,,,,,,,,,,,,,,
683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,6.0,,,,,,,,,1.0,,,,,,,,,,,,
710,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2,6.0,,,,,,,,,,,,,,,,,,,,,
764,,,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,4.0,"T,L",80.0,2.0,,,,,,,,,80.0,2.0,,,,,,,,
766,7.0,20.0,TSU,EQ,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,3.0,,,3.0,,,,,,,,,,3.0,,,,,,,,
787,,,,,Vesuvius,Italy,Italy,40.821,14.425999999999998,1281,Complex volcano,Historical,D2,3.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,
847,,,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6,6.0,,,,,,,,,,,,,,,,,,,,,
920,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,1.0,,,,,,,,,,,,
930,,,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,Historical,D3,6.0,,,,,,,,,,,,,,,,,,,,,
934,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
950,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,,,,,,,,,,1.0,,,,,,,,,,,,
1000,,,,,Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,Historical,D4,7.0,,,,,,,,,,,,,,,,,,,,,
1050,,,TSU,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2,,,,,,,,,,,,,,,,,,,,,,
1104,10.0,15.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,5.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1151,,,,,Krisuvik,Iceland-SW,Iceland,63.93,-22.1,379,Crater rows,Historical,D6,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1158,1.0,19.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1169,2.0,4.0,TSU,EQ,Etna,Italy,Italy,37.734,15.004000000000001,3350,Stratovolcano,Historical,D1,,"S,W",,,,,,,,,,,16000.0,4.0,,,,,,4.0,,
1169,2.0,11.0,TSU,,Etna,Italy,Italy,37.734,15.004000000000001,3350,Stratovolcano,Historical,D1,,,,,,,,,,,,,,,,,,,,,,
1177,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1206,12.0,4.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1250,,,,,Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,Historical,D3,,,,,,,,,,1.0,,,,,,,,,,,,
1262,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,3.0,F,,1.0,,,,,,,,,,1.0,,,,,,,,
1280,,,,,Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,Radiocarbon,D6,6.0,,,,,,,,,1.0,,,,,,,,,,,,
1300,7.0,11.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,4.0,,,,,,,,,,,,600.0,3.0,,,,,,,,
1302,,,,,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,Historical,D6,,,,1.0,,,,,,,,,,1.0,,,,,,,,
